system:index,sst,.geo
20151129_0,-169,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151130_0,-168,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151201_0,-168,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151202_0,-169,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151203_0,-170,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151204_0,-172,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151205_0,-174,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151206_0,-175,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151207_0,-175,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151208_0,-175,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151209_0,-174,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151210_0,-173,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151211_0,-172,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151212_0,-172,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151213_0,-172,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151214_0,-171,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151215_0,-171,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151216_0,-171,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151217_0,-171,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151218_0,-172,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151219_0,-171,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151220_0,-170,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151221_0,-170,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151222_0,-170,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151223_0,-171,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151224_0,-170,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151225_0,-169,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151226_0,-169,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151227_0,-169,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151228_0,-169,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151229_0,-170,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151230_0,-168,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20151231_0,-167,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160101_0,-163,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160102_0,-149,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160103_0,-145,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160104_0,-144,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160105_0,-145,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160106_0,-150,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160107_0,-157,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160108_0,-164,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160109_0,-171,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160110_0,-174,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160111_0,-175,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160112_0,-175,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160113_0,-175,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160114_0,-173,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160115_0,-172,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160116_0,-169,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160117_0,-166,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160118_0,-165,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160119_0,-165,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160120_0,-166,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160121_0,-170,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160122_0,-174,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160123_0,-175,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160124_0,-175,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160125_0,-174,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160126_0,-167,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160127_0,-154,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160128_0,-143,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160129_0,-135,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160130_0,-133,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160131_0,-132,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160201_0,-131,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160202_0,-136,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160203_0,-142,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160204_0,-146,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160205_0,-149,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160206_0,-151,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160207_0,-153,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160208_0,-155,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160209_0,-158,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160210_0,-160,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160211_0,-162,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160212_0,-164,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160213_0,-165,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160214_0,-168,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160215_0,-171,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160216_0,-173,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160217_0,-173,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160218_0,-175,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160219_0,-174,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160220_0,-174,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160221_0,-173,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160222_0,-168,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160223_0,-163,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160224_0,-159,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160225_0,-158,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160226_0,-158,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160227_0,-158,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160228_0,-158,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160229_0,-159,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160301_0,-162,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160302_0,-166,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160303_0,-168,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160304_0,-169,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160305_0,-170,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160306_0,-171,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160307_0,-171,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160308_0,-170,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160309_0,-169,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160310_0,-167,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160311_0,-163,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160312_0,-156,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160313_0,-151,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160314_0,-144,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160315_0,-126,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160316_0,-121,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160317_0,-121,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
20160318_0,-122,"{""type"":""Point"",""coordinates"":[-11.31474361021219,80.10114899435106]}"
