"","system.index","HH","OBJECTID","ORIG_FID","Shape_Leng","flowid","newID","pid",".geo","HHbinary","cumHH"
"777657","19_00007e014f33fc25438e",-18.0346927642822,27940,141,33159.4466734,141,19,79,"{""type"":""Point"",""coordinates"":[-19.465877025853658,79.58677461971013]}",1,133
"777660","19_0000ca8063012e358794",-18.4328365325928,28339,143,33270.3640196,143,19,80,"{""type"":""Point"",""coordinates"":[-19.46111708996344,79.58593751743436]}",1,141
"777664","19_000060ba08a167791104",-17.9514713287354,28340,143,33270.3640196,143,19,81,"{""type"":""Point"",""coordinates"":[-19.463547461512896,79.58449422470537]}",1,141
"777645","19_00006c49af30388838ec",-10.3887128829956,28142,142,33214.8724996,142,19,82,"{""type"":""Point"",""coordinates"":[-19.469379805570842,79.58278392086775]}",1,134
"777638","19_0000babdcde42a300f37",-14.6211109161377,27944,141,33159.4466734,141,19,83,"{""type"":""Point"",""coordinates"":[-19.475210240463138,79.5810735062906]}",1,135
"776193","19_000041f251552d30f362",-11.2433004379272,27945,141,33159.4466734,141,19,84,"{""type"":""Point"",""coordinates"":[-19.477637534657326,79.5796300986042]}",1,137
"776196","19_000098e2f1b082a58d99",-15.4628753662109,27946,141,33159.4466734,141,19,85,"{""type"":""Point"",""coordinates"":[-19.479914096487416,79.57824401584388]}",1,139
"776279","19_0000cff8061a51569936",-14.1563453674316,27947,141,33159.4466734,141,19,86,"{""type"":""Point"",""coordinates"":[-19.482340084261992,79.57680056831344]}",1,135
"776276","19_000057288dea83c07e5f",-12.7147312164307,27749,140,33127.8264478,140,19,87,"{""type"":""Point"",""coordinates"":[-19.488725753319063,79.57524435046204]}",1,132
"776264","19_00007aea33de4d885292",-13.8100595474243,27551,139,33111.0122073,139,19,88,"{""type"":""Point"",""coordinates"":[-19.49535600224621,79.57381507287673]}",1,139
"776334","19_0000cf1ec583559d69c0",-16.2846336364746,27353,138,33094.2020484,138,19,89,"{""type"":""Point"",""coordinates"":[-19.501670228436254,79.57235829828848]}",1,138
"776338","19_0000ae939e49e3345a58",-17.1747989654541,27155,137,33077.3959775,137,19,90,"{""type"":""Point"",""coordinates"":[-19.508296879053656,79.57092874385741]}",1,135
"776328","19_0000b13ead341b0cbc27",-13.9842109680176,26758,135,33043.7961242,135,19,91,"{""type"":""Point"",""coordinates"":[-19.51927591610645,79.56945560642602]}",1,131
"776875","19_0000972e052084270345",-12.3217010498047,26560,134,33027.0023544,134,19,92,"{""type"":""Point"",""coordinates"":[-19.525666418636437,79.56804069505229]}",1,130
"776871","19_000010596588493db46a",-17.3605461120605,26362,133,33010.2126974,133,19,93,"{""type"":""Point"",""coordinates"":[-19.532204802579837,79.56656828090033]}",1,129
"776864","19_00008b279fdc61036de8",-12.9575080871582,25965,131,32976.6457474,131,19,94,"{""type"":""Point"",""coordinates"":[-19.54325818550825,79.56513664690837]}",1,121
"776543","19_0000633655e2ebb0a328",-16.3760070800781,25568,129,32943.0953243,129,19,95,"{""type"":""Point"",""coordinates"":[-19.553994457985937,79.56367731867562]}",1,119
"776546","19_00000cb95525abc9bc8a",-14.3968191146851,25370,128,32926.3263263,128,19,96,"{""type"":""Point"",""coordinates"":[-19.5606084656308,79.56224664954904]}",1,126
"776683","19_0000a956d73e2df58610",-16.829496383667,24973,126,32888.4310373,126,19,97,"{""type"":""Point"",""coordinates"":[-19.57142172232388,79.5608290618223]}",1,118
"776681","19_00000573ab690f312a8b",-17.246072769165,25173,127,32908.876993,127,19,98,"{""type"":""Point"",""coordinates"":[-19.569481276849725,79.55942908643593]}",1,119
"776677","19_00001c59bc80dcb90290",-18.3223152160645,25174,127,32908.876993,127,19,99,"{""type"":""Point"",""coordinates"":[-19.571890558880533,79.5579849254592]}",1,123
"776592","19_0000e8cc003f5f10e667",-17.7583637237549,25374,128,32926.3263263,128,19,100,"{""type"":""Point"",""coordinates"":[-19.569950577622414,79.55658494955141]}",1,116
"776595","19_0000db2e9a9c9f629db2",-13.673999786377,25375,128,32926.3263263,128,19,101,"{""type"":""Point"",""coordinates"":[-19.572359140871438,79.55514078143707]}",1,124
"776601","19_00005d8b999746ab380f",-13.324517250061,25376,128,32926.3263263,128,19,102,"{""type"":""Point"",""coordinates"":[-19.574617847441743,79.55375398486807]}",1,122
"776609","19_0000b3c9d50600f1da35",-16.597375869751,25178,127,32908.876993,127,19,103,"{""type"":""Point"",""coordinates"":[-19.581222775550327,79.5523228687475]}",1,119
"774365","19_00009beb4969d85a0964",-15.8618001937866,26174,132,32993.4271596,132,19,104,"{""type"":""Point"",""coordinates"":[-19.56234505687492,79.55092752298216]}",1,124
"774359","19_0000421945a364dfd08a",-13.1439619064331,26374,133,33010.2126974,133,19,105,"{""type"":""Point"",""coordinates"":[-19.560407656760933,79.54952747951585]}",1,127
"774358","19_0000734b7bdfa0ce33b9",-14.6616525650024,26574,134,33027.0023544,134,19,106,"{""type"":""Point"",""coordinates"":[-19.558702190457897,79.54811237964827]}",1,124
"774344","19_0000aa4825da6bf62786",-13.5897445678711,27570,139,33111.0122073,139,19,107,"{""type"":""Point"",""coordinates"":[-19.53983505262286,79.54671567207527]}",1,139
"774486","19_0000c87d6c2626f70061",-16.3874340057373,28168,142,33214.8724996,142,19,108,"{""type"":""Point"",""coordinates"":[-19.530086396165697,79.54558452998349]}",1,134
"774489","19_00006aab3195c1fe3749",-10.7028884887695,28766,145,33381.5428299,145,19,109,"{""type"":""Point"",""coordinates"":[-19.52114547905991,79.5447345309162]}",1,137
"774465","19_00007a39d562b90d03bf",-16.8230361938477,29364,148,33548.7956026,148,19,110,"{""type"":""Point"",""coordinates"":[-19.512355405230842,79.543826913323]}",1,144
"774521","19_00009800f7d5a595ac93",-15.8668222427368,29962,151,33716.6221498,151,19,111,"{""type"":""Point"",""coordinates"":[-19.503335472185746,79.54293405026951]}",1,141
"774533","19_0000c157aed244a066b0",-13.264666557312,31555,159,34166.9003376,159,19,112,"{""type"":""Point"",""coordinates"":[-19.475545397250563,79.54297083978115]}",1,155
"774537","19_0000d2c24223e7eb86ae",-13.5992908477783,31556,159,34166.9003376,159,19,113,"{""type"":""Point"",""coordinates"":[-19.477568768758726,79.54145763904322]}",1,151
"775704","19_0000e061330fb2db6029",-13.1505222320557,32353,163,34393.4976671,163,19,114,"{""type"":""Point"",""coordinates"":[-19.464688138051436,79.54071863732173]}",1,155
