"","system.index","HH","OBJECTID","ORIG_FID","flowid","newID","pid",".geo","cumHH"
"12196","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000ce7895a1d28c0759",-1,70,0,1,0,69,"{""type"":""Point"",""coordinates"":[-20.38459674737647,79.68996582127653]}",-1
"12199","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00000a586dc66942e63f",-1,71,0,1,0,70,"{""type"":""Point"",""coordinates"":[-20.38229626671928,79.68988043355122]}",-1
"12207","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00008fd00d1d5eccc8fb",1,271,1,2,0,71,"{""type"":""Point"",""coordinates"":[-20.3780289514145,79.69064582011396]}",0
"12198","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_000096840cf3cd5af0df",-1,73,0,1,0,72,"{""type"":""Point"",""coordinates"":[-20.377462049555252,79.68972525259231]}",-1
"12208","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00003808161087d853a1",-1,74,0,1,0,73,"{""type"":""Point"",""coordinates"":[-20.37524835674409,79.68968193108205]}",-1
"12209","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_000027d15364a3023b09",-1,75,0,1,0,74,"{""type"":""Point"",""coordinates"":[-20.37294801647764,79.68959647559863]}",-1
"12210","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00001db1cb1eecce1c2a",-1,76,0,1,0,75,"{""type"":""Point"",""coordinates"":[-20.37041433820885,79.68952664278085]}",-1
"12214","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00009df619031381f40a",-1,77,0,1,0,76,"{""type"":""Point"",""coordinates"":[-20.36811407244747,79.68944115226024]}",-1
"18553","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00003dabea667c8ead4b",1,675,3,4,0,77,"{""type"":""Point"",""coordinates"":[-20.36084278377785,79.69184518942625]}",0
"20037","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000749c2fe92cda81a7",-1,79,0,1,0,78,"{""type"":""Point"",""coordinates"":[-20.36360027988873,79.68931224232269]}",-1
"20036","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00004cc8180153633be4",-1,80,0,1,0,79,"{""type"":""Point"",""coordinates"":[-20.361066734430228,79.6892423348863]}",-1
"18572","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_000020816281bf457f5a",-1,81,0,1,0,80,"{""type"":""Point"",""coordinates"":[-20.358766609227008,79.68915677661664]}",-1
"18573","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000edd3a0bef871e704",-1,82,0,1,0,81,"{""type"":""Point"",""coordinates"":[-20.356466522088294,79.68907120167553]}",-1
"18574","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_000037ed83b4b373a3a6",-1,83,0,1,0,82,"{""type"":""Point"",""coordinates"":[-20.354166473020562,79.68898561006331]}",-1
"18579","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_000006ceb32626ff5d4c",-1,84,0,1,0,83,"{""type"":""Point"",""coordinates"":[-20.351953036331818,79.68894212609341]}",-1
"18580","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_00007e7d5605ea09b089",1,85,0,1,0,84,"{""type"":""Point"",""coordinates"":[-20.34941966034904,79.6888721256841]}",1
"18581","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000f9c19c06e7eb844b",-1,86,0,1,0,85,"{""type"":""Point"",""coordinates"":[-20.347119713905688,79.68878648300148]}",-1
"18582","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000e3973f7534bcb594",-1,87,0,1,0,86,"{""type"":""Point"",""coordinates"":[-20.344819805560043,79.68870082364928]}",-1
"18591","S1A_IW_GRDH_1SSH_20150614T083447_20150614T083512_006367_00863E_581B_0000c6121dfeb03032dd",1,88,0,1,0,87,"{""type"":""Point"",""coordinates"":[-20.342519935318588,79.68861514762806]}",1
